"filename", "language", "XML", "JavaScript", "TypeScript React", "CSS", "TypeScript", "comment", "blank", "total"
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Toolbar/style.module.css", "CSS", 0, 0, 0, 7, 0, 0, 1, 8
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Toolbar/types.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 2, 7
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/Utils/index.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 1, 9
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/consts.ts", "TypeScript", 0, 0, 0, 0, 56, 0, 3, 59
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/index.module.css", "CSS", 0, 0, 0, 4, 0, 0, 0, 4
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/logo.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 1
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/main.tsx", "TypeScript React", 0, 0, 62, 0, 0, 0, 4, 66
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 2, 14
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 4, 1, 6
"/Users/chenzhitao/Desktop/rango/rango-low-code/rango-low-code/src/types.ts", "TypeScript", 0, 0, 0, 0, 58, 1, 12, 71
"Total", "-", 1, 13, 534, 29, 353, 58, 114, 1102
